julian_day,temperature
2442573,1360.9643 
2442574,1360.8059 
2442575,1360.9732 
2442576,1360.9725 
2442577,1360.8259 
2442578,1360.9673 
2442579,1360.9700 
2442580,1360.9469 
2442581,1360.9063 
2442582,1360.9490 
2442583,1360.8426 
2442584,1361.0040 
2442585,1360.8756 
2442586,1360.8671 
2442587,1361.0044 
2442588,1361.0380 
2442589,1361.0216 
2442590,1360.8613 
2442591,1360.9472 
2442592,1360.9262 
2442593,1360.8967 
2442594,1360.9365 
2442595,1360.8862 
2442596,1360.9254 
2442597,1360.9459 
2442598,1360.9961 
2442599,1361.0000 
2442600,1361.0543 
2442601,1361.0794 
2442602,1360.9550 
2442603,1361.0575 
2442604,1361.0548 
2442605,1361.0525 
2442606,1361.0287 
2442607,1360.9972 
2442608,1360.9826 
2442609,1360.9783 
2442610,1361.0100 
2442611,1361.0197 
2442612,1360.9825 
2442613,1361.0234 
2442614,1361.0164 
2442615,1361.0545 
2442616,1361.0577 
2442617,1361.0563 
2442618,1361.0439 
2442619,1361.0515 
2442620,1361.0352 
2442621,1361.0487 
2442622,1360.9970 
2442623,1361.0610 
2442624,1361.0862 
2442625,1361.1087 
2442626,1361.0527 
2442627,1361.0020 
2442628,1360.8709 
2442629,1360.6912 
2442630,1360.6512 
2442631,1360.5830 
2442632,1360.3408 
2442633,1360.3350 
2442634,1360.6385 
2442635,1360.5539 
2442636,1360.7531 
2442637,1360.8950 
2442638,1360.9987 
2442639,1361.0806 
2442640,1361.1812 
2442641,1361.2111 
2442642,1361.1615 
2442643,1361.1637 
2442644,1361.1641 
2442645,1361.1440 
2442646,1361.1645 
2442647,1361.1858 
2442648,1361.1436 
2442649,1361.1322 
2442650,1361.1799 
2442651,1361.1168 
2442652,1361.1321 
2442653,1361.1822 
2442654,1361.2117 
2442655,1361.2451 
2442656,1361.2575 
2442657,1361.2507 
2442658,1361.2313 
2442659,1361.2339 
2442660,1361.1857 
2442661,1361.2419 
2442662,1361.2292 
2442663,1361.2474 
2442664,1361.2275 
2442665,1361.1856 
2442666,1361.1613 
2442667,1361.1422 
2442668,1361.0949 
2442669,1361.0769 
2442670,1361.0771 
2442671,1361.0716 
2442672,1361.0935 
2442673,1361.1062 
2442674,1361.0927 
